hashtags,count,Y,X
PeopleNow,7579602,1,1
KanyeWest ,5682174,1,2
ENMundo,4979148,1,3
ENEntretenimiento,4979146,1,4
FTMercado,4681220,1,5
kanyewestforpresident,2887847,2,1
BonsoirAlice,2825330,2,2
2A,1417009,2,3
VotingRightsAct ,1387823,2,4
Trump coronavirus,1052191,2,5
MundialesLD,982140,3,1
EditorialEPC,676023,3,2
SepaQue 20Jul,630369,3,3
Kanye,552622,3,4
LO??LTIMO,442847,3,5
URGENTE,442840,4,1
Latinus Informaci,277152,4,2
Trump Portland,270801,4,3
20Jul Venezuela,268890,4,4
QuedateEnRadio,266865,4,5
DefundThePolice,240877,5,1
Trump,187188,5,2
COVID19,183693,5,3
BluestarZone,173070,5,4
VOTE Trump,168247,5,5
FoundSomethingNew,154729,6,1
RepublicansVirus,144409,6,2
Within Election2020,138994,6,3
Coronakrise USA ,137369,6,4
Trump,131540,6,5
