value,count(1)
trumpvirus,1064
trump2020 trump jesus,463
breaking,273
trump,168
breaking aca,132
trump2020,114
lgbtq,111
unpresidentedidiot,98
coronavirus,74
covid19,70
defundthepolice,68
2a,65
biden,56
basementbiden,51
blm antifaterrorists democratsaredestroyingamerica,50
unpresidentedloser,50
maga patriots,43
keeptexasred,41
nakedathena portlandprotests,39
maga,38
biden2020,34
smartnews,34
seattle portland trump,34
deathchart,31
bluestarzone,29
trump hillary,27
votelikeyourlifedependsonit,25
keepyourchildhome,22
alwayssupportourveterans trump2020 veterans 2a41a wwg1wga kag,21
fakenewsmediaclowns,21
chriswallace,21
republicansvirus,21
trumpthreatensamerica,21
democratstheenemywithin election2020,20
deadlinewh,20
thecommieyouknow,20
portland,19
gcr nesara,18
chicago,16
qanon,15
maga2020,15
trump2020victorynowmorethanever,14
eeuu,14
fakenews,14
votingrightsact policereform dcstatehood,14
bidengate ukraine,14
corona harriettubman,13
trumpviruscatastrophe,13
joebiden,13
vbm,13
strikeforblacklives,13
joebiden trumpdeathtoll143k,13
donaldthedope,13
coid19,12
onev1 demcast,12
epstein deutschebank,12
maga2020landslide,12
blm,12
presidementia trumpdementiasyndrome,12
joebiden defundthepolice,11
2020election battlegroundstate georgia poll,11
backtheblue defendthepolice,11
20dejulio,11
wallofmoms,11
cdc,11
foxnews,11
presidementia,11
20jul,11
foxnewssunday unpresidentedidiot,10
deathsantis,10
wapo,10
kanyewest,10
obamagate,10
silentmajority,10
cowardinchief,10
presidenttrump trump democrats,10
gestapo,9
jordansview trump,9
trump barr,9
4bid3n,9
fascisttrump,9
unfittobepresident,8
joebiden loganact innocent creepyjoebiden,8
voteredtosaveamerica kag trump2020,8
trump dumptrump,8
epstein,7
mailinballots,7
donaldthedope donaldthedope donaldthedope donaldthedope donaldthedope donaldthedope donaldthedope,7
chriswallace trump,7
diadelaindependencia cualindependencia,7
trumpisalaughingstock,7
kag2020,7
trumpisanationaldisgrace,7
startmeup podcast,7
blm redbull goya,7
abc730,7
votebluetoendthisnightmare,7
medicareforall pandemic,7
republicans biden,7
2apardonpowers,7
lgbt biden,7
trumpsgestapo,6
dem,6
rockthevote,6
donthecon,6
1a,6
roydenhollander goplague,6
deutschebank,6
covid,6
secretpolice,6
nakedathena,6
blackpeople,6
cryptkeeper2020 cryptkeeperjoe basementbiden senilejoe quidprojoe neverbiden trump2020,6
northcarolina,6
democrats,6
etfelicitofill,6
urgente,6
tre45on,6
trump deepstate,6
news sport world,6
sleepyjoe,6
wearethenews,6
trumpvirus trumpviruscatastrophe,5
fisa,5
vote,5
democrat,5
unfittobepresident trumpdeathtoll143k,5
obama,5
biden drugcartels border brandonjudd elimination,5
they,5
pizzagate,5
20jul venezuela,5
nfl,5
traitortrump,5
coronavirus trumpvirus,5
democratsstandtall,5
kanyewest2020,5
blmmural,5
trump coronavirus,5
jesusmatters trump2020,5
trump 1619project,5
anncoulter trump maga immigration theconnection,5
trumpcrimefamily treason fam46,5
trump portland,5
removetrumpnow,5
donaldtrump,5
trump trump,5
taxrecords,5
foundsomethingnew,5
democratsaredestroyingamerica,5
realitywinner,5
moscowmitch,5
realdumbdonaldtrump showmethedeathchart,4
maga kag trump2020,4
trumplies,4
ettd,4
weather geopolitics strange environment,4
cult45,4
trumpislosing,4
resisters,4
isaconspiracytheory,4
marytrumpsbook,4
kanye,4
americaortrump,4
trumpvirus trumpvirus trumpvirus trumpvirus trumpvirus trumpvirus trumpvirus trumpvirus trumpvirus,4
traitortrump trumplague,4
trump2020landslide,4
dumptrump2020 traitortrump,4
moscowmitchmcconnell,4
potus,4
defendthepolice,4
fakenewsmedia,4
chriswray comey,4
labour,4
maga qanon,4
gop voteblue2020 votebluetosaveamerica2020,4
senilejoebiden,4
portlandmoms,4
trump2020 kag maga,4
demexit votegreen,4
keepmnblue,4
votebluetosaveamerica2020,4
20jul internacionales,4
worstpresidentinhistory,4
wwg1wga,4
corruptgop,4
cowboysfortrump,4
disinformation,4
maga kag,4
teamtrump,4
kag2020trumpvictory joebidenisnotwell,4
getoutthevote votered redtosaveamerica trump enationtrains,4
climatechange,4
australia redpillraven digitalsoldiers qanon wwg1wga trump deepstate,4
china,4
20julio2020,4
blacklivesmatter,4
coronavirus cdc,4
iranian,4
trumpviruscatastrophe trumpvirus,4
senilejoe,4
trump2020landslidevictory,4
lawandorder,4
mondaymotivation,4
trump maskenpflicht,4
pennsylvaniaday,4
turntexasblue,3
mepongorebeldesi cuba cugmsz,3
votetrumpout,3
obama hillaryclinton epstein paedophiles biden,3
trump2020 maga,3
russiagate,3
trumpgestapo,3
beverlynbeatty blacklivesmatter,3
axhandlesaturday,3
new,3
chriswallaceinterview,3
covid19 etatsunis trump twitter masque,3
covid19 coronavirus,3
le blm,3
defunddhs,3
bonsoiralice,3
resignnowtrump,3
gopcowards,3
treason,3
antifaterrorists,3
theresistancerising,3
portlandprotests,3
trumpnowmorethanever2020,3
notmypresident deadlinewh msnbc,3
aag aag2020,3
portlandriots,3
idiottrump,3
qanon wwg1wga trump,3
medicareforall,3
clownswearmasks,3
breaking trump covid19 gop,3
antifa blm,3
antifa,3
wwg1wga wwg1wgaworldwide qanon qanons q thegreatawakening thestorm trump thestormishere thestormisuponus,3
iran,3
trumpinvasion,3
liarinchief,3
thetruetrumpeffect coviddeathbytrump,3
orandopordiosdado,3
trumpkillingamerica,3
fundtrumppolice,3
walkaway,3
liberalismisamentaldisorder,3
whitehouse,3
trumplie,3
trump2020landslide maga kag wwg1wga,3
byedonjr,3
gcr,3
fam46,3
trump markrutte rutte vvd nexit stemzeweg,3
dumptrump votebluetosaveamerica votejoebiden2020 dumptreasonoustrump trumpisputinspuppet,3
veterans patriots,3
randomtrump trump donaldtrump giphy gif gifs,3
trump eeuu,3
ripjohnlewis johnlewis resist blacklivesmatter blm vote trump,3
nhpolitics,3
fascisttrump fascistgop,3
wearamaskca,3
protest maryland washingtondc virginia blacklivesmatter,3
barrssecretpolice,3
traitorinchief,3
semanaradicalporlasalud,3
trump wokeaf,3
wearadamnmask,3
scotus,3
bettemidler,3
sueusall,3
foxbusiness,3
themoreyouknow,3
mondaythoughts,3
trumpfailsamerica,3
possecomitatus,3
trump covid19,3
trumpthreatensamerica trumpviruscatastrophe,3
morningjoe,3
plandemic,3
resist,3
art,2
bidenisapredator,2
usprotests koronakriisi usavaalit,2
idiotinchief,2
democrats newyork,2
radailydoodle,2
coronavirus trump,2
trumpvirus trumpvirus trumphasnocredibility trumpthreatensamerica,2
ukraine,2
godwins,2
nesara,2
obama wwg1wga wwg1wgaworldwide qanon qanons q thegreatawakening thestorm,2
bidden2020 trumpknewanddidnothing,2
ftmercado,2
treasonous traitor,2
nevertrump,2
operationpaintdrop,2
unpresidentidiot,2
